### BDSIM output created Fri Jun 28 09:34:48 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 4000 249.004 -1187.9 299.77 1.79673e-05 -2.50578e-05
2212 4000 250.98 -1190.66 299.88 1.79673e-05 -2.50578e-05
2212 4000 265.785 -1211.3 300.704 1.79673e-05 -2.50578e-05
2212 4000 279.171 -1229.97 301.449 1.79673e-05 -2.50578e-05
2212 4000 392.928 -1239.96 306.249 3.01256e-05 2.09554e-05
2212 4000 398.652 -1235.98 306.439 3.01256e-05 2.09554e-05
2212 4000 425.885 -1217.04 307.343 3.01256e-05 2.09554e-05
2212 4000 455.363 -1196.53 308.322 3.01256e-05 2.09554e-05
2212 4000 465.448 -1189.52 308.656 3.01256e-05 2.09554e-05
2212 4000 896.273 -889.857 322.956 3.01299e-05 2.09553e-05
2212 4000 902.879 -885.263 323.176 3.01299e-05 2.09553e-05
2212 4000 906.193 -882.958 323.286 3.01299e-05 2.09553e-05
2212 4000 937.264 -861.348 324.317 3.01299e-05 2.09553e-05
2212 4000 1368.14 -561.687 338.617 3.01333e-05 2.09552e-05
2212 4000 1374.75 -557.093 338.836 3.01333e-05 2.09552e-05
2212 4000 1378.06 -554.787 338.946 3.01333e-05 2.09552e-05
2212 4000 1402.92 -537.499 339.771 3.01333e-05 2.09552e-05
2212 4000 1426.31 -521.238 340.547 3.01333e-05 2.09552e-05
2212 4000 1471.14 -480.568 342.947 7.10748e-06 1.30443e-05
2212 4000 1473.74 -475.793 343.313 7.10748e-06 1.30443e-05
2212 4000 1441.72 -449.147 346.713 -2.58209e-05 2.72965e-06
2212 4000 1436.79 -448.626 346.904 -2.58209e-05 2.72965e-06
2212 4000 1413.55 -446.169 347.804 -2.58209e-05 2.72965e-06
2212 4000 1388.16 -443.484 348.788 -2.58209e-05 2.72965e-06
2212 4000 1379.51 -442.571 349.122 -2.58209e-05 2.72965e-06
2212 4000 1010.29 -403.537 363.422 -2.58175e-05 2.72964e-06
2212 4000 1004.63 -402.938 363.642 -2.58175e-05 2.72964e-06
2212 4000 1001.79 -402.638 363.752 -2.58175e-05 2.72964e-06
2212 4000 975.169 -399.823 364.783 -2.58175e-05 2.72964e-06
2212 4000 606.003 -360.789 379.083 -2.58134e-05 2.72963e-06
2212 4000 600.344 -360.19 379.302 -2.58134e-05 2.72963e-06
2212 4000 597.504 -359.89 379.412 -2.58134e-05 2.72963e-06
2212 4000 576.234 -357.641 380.236 -2.58134e-05 2.72963e-06
2212 4000 557.003 -355.607 380.981 -2.58134e-05 2.72963e-06
2212 4000 476.082 -314.035 385.781 -8.3642e-06 1.43543e-05
2212 4000 474.493 -311.308 385.971 -8.3642e-06 1.43543e-05
2212 4000 466.931 -298.331 386.875 -8.3642e-06 1.43543e-05
2212 4000 458.747 -284.286 387.854 -8.3642e-06 1.43543e-05
2212 4000 455.947 -279.481 388.188 -8.3642e-06 1.43543e-05
2212 4000 336.371 -74.2137 402.488 -8.35939e-06 1.43543e-05
2212 4000 334.539 -71.0666 402.708 -8.35939e-06 1.43543e-05
2212 4000 333.619 -69.4876 402.818 -8.35939e-06 1.43543e-05
2212 4000 324.998 -54.6848 403.849 -8.35939e-06 1.43543e-05
2212 4000 205.494 150.581 418.149 -8.35435e-06 1.43542e-05
2212 4000 203.662 153.728 418.368 -8.35435e-06 1.43542e-05
2212 4000 202.743 155.307 418.478 -8.35435e-06 1.43542e-05
2212 4000 199.811 160.346 418.829 -8.35435e-06 1.43542e-05
2212 4000 85.2166 357.238 432.546 -8.35435e-06 1.43542e-05
2212 4000 81.265 364.028 433.019 -8.35435e-06 1.43542e-05
2212 4000 72.9357 378.339 434.016 -8.35435e-06 1.43542e-05
2212 4000 44.2805 439.942 437.116 -9.99958e-06 2.56753e-05
2212 4000 42.5906 444.281 437.285 -9.99958e-06 2.56753e-05
2212 4000 29.6096 477.439 438.585 -9.97282e-06 2.53337e-05
2212 4000 27.8394 481.936 438.762 -9.97282e-06 2.53337e-05
2212 4000 23.313 493.438 439.216 -9.96819e-06 2.53342e-05
2212 4000 16.8635 509.829 439.863 -9.96819e-06 2.53342e-05
2212 4000 12.6021 520.659 440.291 -9.96819e-06 2.53342e-05
2212 4000 9.15813 529.412 440.636 -9.96819e-06 2.53342e-05
2212 4000 5.82131 537.893 440.971 -9.96819e-06 2.53342e-05
2212 4000 -136.684 900.171 455.271 -9.96254e-06 2.53341e-05
2212 4000 -138.868 905.726 455.49 -9.96254e-06 2.53341e-05
2212 4000 -139.964 908.513 455.6 -9.96254e-06 2.53341e-05
2212 4000 -150.238 934.638 456.632 -9.96254e-06 2.53341e-05
2212 4000 -292.661 1296.92 470.932 -9.95661e-06 2.5334e-05
2212 4000 -294.844 1302.47 471.151 -9.95661e-06 2.5334e-05
2212 4000 -295.939 1305.26 471.261 -9.95661e-06 2.5334e-05
2212 4000 -302.874 1322.9 471.957 -9.95661e-06 2.5334e-05
2212 4000 -306.207 1331.38 472.292 -9.95661e-06 2.5334e-05
2212 4000 -448.543 1693.66 486.592 -9.9504e-06 2.53339e-05
2212 4000 -450.725 1699.21 486.811 -9.9504e-06 2.53339e-05
2212 4000 -451.819 1702 486.921 -9.9504e-06 2.53339e-05
2212 4000 -460.019 1722.87 487.745 -9.9504e-06 2.53339e-05
2212 4000 -465.929 1737.92 488.339 -9.9504e-06 2.53339e-05
2212 4000 -469.083 1746.14 488.659 -9.7613e-06 2.60385e-05
2212 4000 -471.992 1753.9 488.957 -9.7613e-06 2.60385e-05
2212 4000 -522.311 1761.53 492.057 -2.29263e-05 -2.11528e-05
2212 4000 -525.991 1758.13 492.218 -2.29263e-05 -2.11528e-05
2212 4000 -536.424 1748.54 492.672 -2.30171e-05 -2.10924e-05
2212 4000 -551.316 1734.9 493.319 -2.30171e-05 -2.10924e-05
2212 4000 -576.721 1711.62 494.423 -2.30171e-05 -2.10924e-05
2212 4000 -905.819 1410 508.723 -2.30102e-05 -2.10924e-05
2212 4000 -910.864 1405.37 508.942 -2.30102e-05 -2.10924e-05
2212 4000 -913.395 1403.05 509.052 -2.30102e-05 -2.10924e-05
