0.94 22601 0
0.95 7003 0
0.96 3688 0
0.97 2325 0
0.98 1800 0
0.99 1402 0
1.0 1159 0
1.1 602 0
1.2 661 0
1.3 710 18
1.4 695 98
1.5 716 246
1.6 652 436
1.7 697 565
1.8 680 648
1.9 610 602
2.0 581 638
2.1 581 620
2.2 545 636
2.3 556 735
2.4 532 671
2.5 522 688
2.6 503 650
2.7 450 681
2.8 480 701
2.9 440 655
3.0 418 690
3.5 425 695
4.0 406 703
4.5 374 720
5.0 372 705
5.5 348 696
6.0 327 687
6.5 321 731
7.0 303 754
8.0 268 792
9.0 268 684
10.0 256 735
100 158 770
500 167 778
1000 202 845
2000 185 834
3000 209 883
4000 225 961
5000 225 962
6000 253 970
6500 212 970
7000 228 960
7500 212 940
8000 240 982
8500 232 974
9000 240 1026
9500 235 952
10000 241 1027
12500 230 1027
25000 276 1049
37500 300 1168
50000 247 1098
75000 296 1178
100000 293 1170
