0.94 6 3
0.95 630 350
0.96 420 504
0.97 491 501
0.98 555 470
0.99 574 419
1.0 564 366
1.1 193 319
1.2 117 303
1.3 135 300
1.4 142 324
1.5 162 347
1.6 220 325
1.7 228 346
1.8 240 354
1.9 201 375
2.0 250 351
2.1 227 326
2.2 235 334
2.3 215 371
2.4 224 373
2.5 244 417
2.6 215 383
2.7 247 346
2.8 266 368
2.9 231 363
3.0 203 334
3.5 218 337
4.0 241 423
4.5 212 379
5.0 226 372
5.5 215 367
6.0 249 374
6.5 252 346
7.0 226 354
8.0 223 330
9.0 234 325
10.0 229 346
100 244 344
500 247 313
1000 236 362
2000 260 358
3000 237 404
4000 248 375
5000 256 363
6000 246 400
6500 251 372
7000 273 378
7500 247 367
8000 259 367
8500 279 400
9000 292 364
9500 279 390
10000 263 382
12500 275 366
25000 288 380
37500 292 386
50000 299 393
75000 295 437
100000 331 395
