0.94 42 1
0.95 1265 95
0.96 1742 256
0.97 1570 327
0.98 1384 330
0.99 1231 324
1.0 992 315
1.1 286 285
1.2 195 315
1.3 171 288
1.4 170 258
1.5 165 321
1.6 173 289
1.7 206 294
1.8 188 325
1.9 186 318
2.0 207 320
2.1 215 319
2.2 218 319
2.3 233 327
2.4 220 294
2.5 249 314
2.6 223 328
2.7 249 300
2.8 255 309
2.9 247 333
3.0 239 292
3.5 250 291
4.0 285 357
4.5 267 301
5.0 272 303
5.5 285 322
6.0 281 298
6.5 308 348
7.0 303 303
8.0 305 289
9.0 313 280
10.0 293 324
100 346 292
500 352 329
1000 350 312
2000 326 298
3000 334 337
4000 328 294
5000 340 303
6000 357 341
6500 381 319
7000 334 290
7500 349 342
8000 337 320
8500 369 344
9000 328 314
9500 364 347
10000 368 341
12500 376 352
25000 394 352
37500 401 329
50000 372 336
75000 373 346
100000 416 387
