0.94 4727 10
0.95 824 1707
0.96 1537 2215
0.97 2159 2043
0.98 2255 1878
0.99 2172 1543
1.0 1901 1349
1.1 565 1195
1.2 382 1235
1.3 459 1200
1.4 541 1275
1.5 658 1296
1.6 714 1376
1.7 742 1366
1.8 808 1365
1.9 779 1368
2.0 822 1311
2.1 798 1387
2.2 909 1392
2.3 821 1383
2.4 797 1459
2.5 831 1427
2.6 806 1402
2.7 817 1376
2.8 821 1408
2.9 813 1446
3.0 824 1412
3.5 841 1363
4.0 767 1376
4.5 788 1422
5.0 774 1380
5.5 808 1381
6.0 749 1367
6.5 738 1311
7.0 701 1341
8.0 749 1378
9.0 680 1377
10.0 725 1297
100 588 1296
500 648 1278
1000 632 1398
2000 682 1362
3000 719 1358
4000 706 1445
5000 776 1475
6000 813 1415
6500 826 1416
7000 802 1401
7500 791 1394
8000 828 1431
8500 785 1530
9000 820 1436
9500 833 1524
10000 861 1468
12500 860 1467
25000 941 1487
37500 1050 1585
50000 1080 1545
75000 1134 1577
100000 1174 1607
