0.94 10168 1
0.95 4038 1045
0.96 4939 2075
0.97 3990 1863
0.98 2945 1643
0.99 2204 1500
1.0 1712 1368
1.1 414 941
1.2 279 939
1.3 331 1053
1.4 423 1083
1.5 522 1089
1.6 614 1138
1.7 647 1210
1.8 654 1148
1.9 682 1242
2.0 678 1217
2.1 670 1236
2.2 625 1156
2.3 660 1229
2.4 655 1274
2.5 645 1282
2.6 655 1248
2.7 572 1207
2.8 629 1189
2.9 640 1274
3.0 616 1251
3.5 559 1232
4.0 585 1221
4.5 593 1210
5.0 553 1184
5.5 536 1207
6.0 533 1170
6.5 559 1197
7.0 514 1209
8.0 525 1160
9.0 558 1167
10.0 461 1179
100 399 1163
500 405 1211
1000 434 1188
2000 484 1192
3000 526 1262
4000 553 1241
5000 578 1282
6000 571 1293
6500 568 1346
7000 612 1302
7500 611 1317
8000 635 1337
8500 681 1344
9000 604 1359
9500 627 1261
10000 660 1304
125000 0 0
25000 771 1379
37500 853 1454
50000 888 1500
75000 926 1403
100000 1008 1444
