0.94 5 2
0.95 601 337
0.96 444 529
0.97 503 534
0.98 545 452
0.99 579 396
1.0 508 344
1.1 193 324
1.2 123 324
1.3 141 342
1.4 166 326
1.5 179 313
1.6 199 366
1.7 233 324
1.8 198 356
1.9 235 357
2.0 224 383
2.1 220 331
2.2 208 369
2.3 223 346
2.4 242 371
2.5 211 406
2.6 248 363
2.7 234 373
2.8 242 357
2.9 222 360
3.0 214 394
3.5 231 348
4.0 217 377
4.5 256 401
5.0 218 350
5.5 249 359
6.0 256 331
6.5 237 345
7.0 209 372
8.0 251 376
9.0 238 346
10.0 259 335
100 244 357
500 235 360
1000 245 319
2000 222 390
3000 236 360
4000 256 370
5000 246 373
6000 250 349
7000 259 330
8000 276 388
9000 265 352
10000 276 374
25000 295 369
50000 288 379
