0.94 4666 6
0.95 833 1786
0.96 1643 2201
0.97 2098 1997
0.98 2275 1735
0.99 2169 1610
1.0 1968 1385
1.1 568 1205
1.2 356 1169
1.3 416 1268
1.4 527 1189
1.5 656 1291
1.6 745 1391
1.7 797 1298
1.8 830 1389
1.9 821 1306
2.0 828 1389
2.1 838 1350
2.2 846 1342
2.3 816 1426
2.4 838 1451
2.5 814 1411
2.6 819 1363
2.7 808 1408
2.8 809 1445
2.9 776 1422
3.0 806 1459
3.5 765 1361
4.0 769 1364
4.5 742 1385
5.0 790 1338
5.5 685 1372
6.0 774 1438
6.5 700 1343
7.0 696 1345
8.0 700 1337
9.0 682 1344
10.0 680 1324
100 626 1387
500 637 1339
1000 628 1365
2000 702 1452
3000 667 1426
4000 728 1424
5000 781 1509
6000 793 1501
6500 792 1414
7000 831 1471
7500 785 1429
8000 810 1494
8500 829 1486
9000 806 1473
9500 836 1448
10000 820 1466
125000 0 0
25000 954 1517
37500 978 1588
50000 1081 1607
75000 1109 1562
100000 1182 1619
