0.94 47 0
0.95 1987 212
0.96 2863 511
0.97 2461 589
0.98 2206 582
0.99 2037 565
1.0 1666 552
1.1 454 503
1.2 271 477
1.3 286 501
1.4 284 512
1.5 275 515
1.6 353 555
1.7 301 508
1.8 317 539
1.9 309 587
2.0 362 526
2.1 360 543
2.2 405 530
2.3 392 586
2.4 345 532
2.5 422 551
2.6 397 570
2.7 437 572
2.8 387 568
2.9 387 566
3.0 422 565
3.5 436 560
4.0 462 582
4.5 461 568
5.0 487 577
5.5 494 561
6.0 470 568
6.5 474 537
7.0 524 568
8.0 484 527
9.0 499 527
10.0 506 504
100 535 580
500 614 566
1000 578 542
2000 573 587
3000 590 588
4000 612 548
5000 624 554
6000 639 557
6500 608 533
7000 590 561
7500 613 562
8000 639 554
8500 588 577
9000 598 555
9500 595 556
10000 588 580
125000 0 0
25000 632 593
37500 603 621
50000 602 606
75000 651 635
100000 660 702
