0.94 22768 0
0.95 7021 0
0.96 3573 0
0.97 2321 0
0.98 1792 0
0.99 1418 0
1.0 1161 0
1.1 630 0
1.2 650 0
1.3 660 25
1.4 756 99
1.5 676 275
1.6 726 482
1.7 684 572
1.8 645 621
1.9 606 614
2.0 625 660
2.1 569 664
2.2 547 615
2.3 546 702
2.4 559 644
2.5 539 681
2.6 486 698
2.7 527 686
2.8 453 659
2.9 460 679
3.0 473 669
3.5 403 714
4.0 381 689
4.5 366 699
5.0 366 685
5.5 328 717
6.0 326 725
6.5 334 711
7.0 305 768
8.0 295 734
9.0 282 749
10.0 275 718
100 176 754
500 185 855
1000 193 857
2000 215 838
3000 217 976
4000 220 954
5000 238 938
6000 230 946
7000 261 947
8000 255 1006
9000 245 995
10000 242 915
25000 236 1094
50000 263 1087
