0.94 34 0
0.95 2088 196
0.96 2848 517
0.97 2559 566
0.98 2217 565
0.99 1975 537
1.0 1598 533
1.1 442 519
1.2 323 490
1.3 302 525
1.4 307 500
1.5 308 533
1.6 318 532
1.7 334 559
1.8 340 553
1.9 334 563
2.0 356 539
2.1 362 525
2.2 364 583
2.3 361 578
2.4 415 560
2.5 389 558
2.6 419 564
2.7 393 610
2.8 394 543
2.9 410 578
3.0 434 518
3.5 403 541
4.0 461 601
4.5 469 523
5.0 467 557
5.5 445 538
6.0 471 547
6.5 469 567
7.0 508 527
8.0 505 525
9.0 516 542
10.0 470 530
100 556 512
500 543 550
1000 623 511
2000 605 535
3000 590 573
4000 602 585
5000 591 586
6000 600 573
6500 584 549
7000 602 580
7500 573 577
8000 561 584
8500 629 553
9000 630 589
9500 590 558
10000 650 629
125000 0 0
25000 641 567
37500 640 631
50000 671 555
75000 589 622
100000 665 632
