0.94 33 1
0.95 1331 100
0.96 1704 288
0.97 1588 317
0.98 1452 328
0.99 1267 290
1.0 1058 296
1.1 257 297
1.2 161 300
1.3 163 284
1.4 160 309
1.5 182 315
1.6 182 312
1.7 176 283
1.8 205 344
1.9 206 289
2.0 207 309
2.1 205 316
2.2 237 297
2.3 228 326
2.4 219 299
2.5 235 332
2.6 217 334
2.7 234 330
2.8 235 342
2.9 217 318
3.0 252 294
3.5 268 312
4.0 239 323
4.5 251 308
5.0 278 308
5.5 279 316
6.0 286 312
6.5 273 283
7.0 302 290
8.0 277 302
9.0 293 336
10.0 314 307
100 331 303
500 332 308
1000 373 301
2000 342 349
3000 335 329
4000 371 324
5000 328 316
6000 375 344
6500 365 352
7000 355 309
7500 351 326
8000 333 310
8500 388 338
9000 349 355
9500 352 353
10000 361 312
12500 341 324
25000 391 316
37500 364 329
50000 346 325
75000 395 326
100000 368 375
