0.94 10101 2
0.95 4048 1040
0.96 4868 2072
0.97 3950 1834
0.98 2904 1639
0.99 2278 1409
1.0 1741 1277
1.1 436 991
1.2 291 1000
1.3 348 1065
1.4 446 1049
1.5 553 1118
1.6 557 1081
1.7 624 1200
1.8 654 1169
1.9 656 1163
2.0 666 1180
2.1 664 1205
2.2 637 1218
2.3 631 1237
2.4 694 1185
2.5 627 1223
2.6 658 1202
2.7 618 1250
2.8 610 1213
2.9 585 1216
3.0 590 1223
3.5 574 1173
4.0 559 1225
4.5 586 1209
5.0 560 1205
5.5 542 1174
6.0 559 1186
6.5 565 1148
7.0 548 1204
8.0 531 1177
9.0 476 1192
10.0 455 1171
100 379 1130
500 374 1165
1000 404 1180
2000 517 1199
3000 480 1202
4000 563 1271
5000 542 1332
6000 580 1326
6500 580 1297
7000 606 1295
7500 664 1315
8000 605 1357
8500 602 1286
9000 633 1324
9500 629 1405
10000 663 1236
12500 685 1309
25000 753 1406
37500 891 1362
50000 945 1456
75000 979 1442
100000 1131 1503
