0.94 23080 0
0.95 7095 0
0.96 3633 0
0.97 2414 0
0.98 1784 0
0.99 1371 0
1.0 1124 0
1.1 638 0
1.2 675 0
1.3 676 19
1.4 708 107
1.5 705 286
1.6 654 432
1.7 676 569
1.8 657 616
1.9 589 615
2.0 604 663
2.1 533 648
2.2 588 640
2.3 528 661
2.4 549 691
2.5 508 673
2.6 468 643
2.7 474 672
2.8 502 685
2.9 479 620
3.0 461 713
3.5 449 739
4.0 393 720
4.5 364 703
5.0 333 740
5.5 331 724
6.0 314 740
6.5 319 698
7.0 286 740
8.0 297 726
9.0 267 737
10.0 282 753
100 180 756
500 179 800
1000 177 813
2000 202 819
3000 218 955
4000 227 901
5000 215 883
6000 221 986
6500 236 910
7000 210 899
7500 238 929
8000 245 1007
8500 240 983
9000 256 940
9500 239 1013
10000 262 994
12500 297 1012
25000 266 1067
37500 282 1167
50000 282 1162
75000 294 1214
100000 284 1240
