0.94 9 4
0.95 625 363
0.96 376 533
0.97 497 525
0.98 557 445
0.99 578 384
1.0 540 343
1.1 209 318
1.2 111 311
1.3 141 339
1.4 131 301
1.5 207 346
1.6 203 362
1.7 212 330
1.8 231 375
1.9 220 347
2.0 217 338
2.1 234 369
2.2 238 345
2.3 202 375
2.4 234 371
2.5 227 339
2.6 202 335
2.7 244 389
2.8 250 386
2.9 247 378
3.0 234 378
3.5 235 358
4.0 237 387
4.5 239 368
5.0 262 366
5.5 277 367
6.0 234 349
6.5 267 351
7.0 244 370
8.0 232 355
9.0 260 304
10.0 269 391
100 255 349
500 220 326
1000 228 396
2000 249 320
3000 236 340
4000 233 359
5000 292 366
6000 268 363
6500 245 340
7000 244 371
7500 247 374
8000 249 377
8500 261 369
9000 264 395
9500 263 351
10000 275 378
12500 268 392
25000 284 381
37500 301 419
50000 305 389
75000 294 410
100000 331 435
