0.94 4815 16
0.95 845 1783
0.96 1614 2294
0.97 2099 2026
0.98 2327 1747
0.99 2168 1550
1.0 1948 1367
1.1 573 1184
1.2 380 1256
1.3 441 1235
1.4 512 1234
1.5 700 1257
1.6 740 1306
1.7 770 1329
1.8 787 1357
1.9 811 1304
2.0 799 1396
2.1 855 1372
2.2 851 1335
2.3 849 1409
2.4 822 1384
2.5 839 1371
2.6 795 1467
2.7 859 1414
2.8 806 1430
2.9 832 1446
3.0 729 1388
3.5 840 1409
4.0 780 1378
4.5 808 1414
5.0 773 1427
5.5 758 1356
6.0 778 1317
6.5 754 1366
7.0 761 1303
8.0 697 1388
9.0 655 1297
10.0 713 1356
100 649 1358
500 636 1294
1000 686 1408
2000 715 1436
3000 742 1493
4000 762 1456
5000 792 1451
6000 766 1463
6500 799 1461
7000 787 1460
7500 788 1473
8000 818 1461
8500 846 1513
9000 831 1407
9500 835 1393
10000 831 1499
12500 906 1391
25000 959 1547
37500 1006 1508
50000 1049 1562
75000 1080 1594
100000 1138 1639
