0.94 49 2
0.95 1958 223
0.96 2818 541
0.97 2541 543
0.98 2324 549
0.99 1969 543
1.0 1657 543
1.1 478 492
1.2 318 505
1.3 287 498
1.4 311 512
1.5 305 512
1.6 307 578
1.7 322 527
1.8 327 555
1.9 321 535
2.0 326 528
2.1 394 527
2.2 373 547
2.3 374 579
2.4 384 547
2.5 420 558
2.6 376 542
2.7 400 563
2.8 440 527
2.9 404 515
3.0 436 610
3.5 454 520
4.0 441 561
4.5 470 532
5.0 431 578
5.5 477 529
6.0 502 556
6.5 486 549
7.0 524 542
8.0 469 528
9.0 517 557
10.0 537 560
100 568 555
500 561 503
1000 570 554
2000 596 585
3000 596 565
4000 607 584
5000 602 569
6000 631 583
6500 613 575
7000 593 586
7500 633 544
8000 609 541
8500 598 580
9000 623 583
9500 571 590
10000 613 541
12500 596 557
25000 619 622
37500 632 627
50000 665 583
75000 603 580
100000 639 607
