0.94 22976 0
0.95 6901 0
0.96 3733 0
0.97 2298 0
0.98 1723 0
0.99 1319 0
1.0 1166 0
1.1 645 0
1.2 642 0
1.3 679 28
1.4 693 102
1.5 696 305
1.6 709 407
1.7 696 545
1.8 654 591
1.9 632 657
2.0 593 655
2.1 546 639
2.2 557 655
2.3 568 722
2.4 538 677
2.5 480 675
2.6 505 646
2.7 498 675
2.8 475 698
2.9 453 676
3.0 479 705
3.5 437 700
4.0 414 721
4.5 403 711
5.0 321 747
5.5 324 717
6.0 320 794
6.5 318 754
7.0 299 738
8.0 278 735
9.0 268 782
10.0 268 691
100 197 770
500 186 810
1000 175 842
2000 196 847
3000 213 910
4000 207 953
5000 205 959
6000 204 918
6500 229 979
7000 190 904
7500 231 952
8000 219 957
8500 239 992
9000 278 951
9500 243 998
10000 250 962
12500 278 977
25000 286 1080
37500 268 1092
50000 272 1123
75000 286 1149
100000 304 1212
