0.94 43 2
0.95 1979 244
0.96 2722 525
0.97 2628 591
0.98 2269 585
0.99 1934 547
1.0 1670 507
1.1 437 483
1.2 299 469
1.3 264 519
1.4 297 507
1.5 289 515
1.6 313 506
1.7 329 525
1.8 364 560
1.9 312 519
2.0 359 509
2.1 344 588
2.2 391 598
2.3 362 587
2.4 418 519
2.5 356 534
2.6 408 518
2.7 428 549
2.8 407 561
2.9 396 585
3.0 414 522
3.5 414 533
4.0 435 547
4.5 452 550
5.0 467 517
5.5 443 578
6.0 469 567
6.5 462 513
7.0 465 573
8.0 485 516
9.0 525 579
10.0 522 534
100 555 508
500 568 517
1000 568 555
2000 585 568
3000 620 550
4000 589 577
5000 576 565
6000 564 577
6500 595 533
7000 601 597
7500 630 594
8000 626 556
8500 596 602
9000 620 570
9500 604 610
10000 602 533
12500 610 591
25000 605 604
37500 618 577
50000 642 583
75000 637 592
100000 671 638
