0.94 10117 6
0.95 3996 1061
0.96 4858 2119
0.97 3893 1839
0.98 3000 1703
0.99 2216 1458
1.0 1662 1357
1.1 427 951
1.2 263 909
1.3 349 1003
1.4 442 1057
1.5 553 1100
1.6 620 1229
1.7 650 1154
1.8 644 1234
1.9 653 1228
2.0 653 1230
2.1 651 1213
2.2 621 1214
2.3 684 1217
2.4 626 1255
2.5 583 1232
2.6 693 1281
2.7 643 1255
2.8 602 1271
2.9 589 1209
3.0 615 1172
3.5 613 1222
4.0 537 1215
4.5 569 1194
5.0 560 1200
5.5 571 1110
6.0 551 1135
6.5 497 1135
7.0 507 1215
8.0 484 1130
9.0 498 1117
10.0 495 1155
100 413 1140
500 396 1282
1000 425 1161
2000 479 1295
3000 503 1327
4000 530 1284
5000 543 1236
6000 631 1277
6500 606 1304
7000 660 1351
7500 602 1280
8000 649 1294
8500 661 1245
9000 632 1348
9500 648 1415
10000 651 1386
12500 665 1267
25000 750 1381
37500 845 1413
50000 881 1390
75000 955 1373
100000 992 1473
