0.94 4680 17
0.95 866 1719
0.96 1618 2266
0.97 2135 2037
0.98 2331 1790
0.99 2224 1594
1.0 1873 1364
1.1 551 1182
1.2 367 1193
1.3 421 1223
1.4 527 1246
1.5 668 1292
1.6 722 1303
1.7 754 1333
1.8 850 1393
1.9 846 1342
2.0 821 1418
2.1 838 1358
2.2 830 1411
2.3 793 1437
2.4 836 1354
2.5 826 1415
2.6 820 1540
2.7 876 1395
2.8 815 1434
2.9 801 1418
3.0 823 1425
3.5 772 1351
4.0 788 1365
4.5 769 1407
5.0 748 1351
5.5 751 1372
6.0 717 1359
6.5 744 1309
7.0 743 1345
8.0 702 1362
9.0 703 1358
10.0 641 1348
100 590 1326
500 677 1339
1000 703 1364
2000 657 1389
3000 726 1400
4000 772 1440
5000 751 1429
6000 810 1452
6500 761 1476
7000 810 1479
7500 794 1510
8000 822 1480
8500 818 1476
9000 811 1472
9500 851 1450
10000 824 1494
12500 861 1497
25000 915 1467
37500 1025 1498
50000 1069 1572
75000 1210 1659
100000 1161 1593
