0.94 27 0
0.95 1279 98
0.96 1786 267
0.97 1571 276
0.98 1333 323
0.99 1215 302
1.0 970 321
1.1 280 298
1.2 187 296
1.3 161 276
1.4 163 315
1.5 183 294
1.6 186 317
1.7 219 291
1.8 198 289
1.9 194 296
2.0 213 303
2.1 191 291
2.2 194 306
2.3 244 312
2.4 213 329
2.5 232 306
2.6 221 323
2.7 243 304
2.8 242 279
2.9 254 295
3.0 258 316
3.5 278 285
4.0 267 280
4.5 279 310
5.0 314 311
5.5 301 324
6.0 268 311
6.5 275 295
7.0 287 270
8.0 330 307
9.0 305 288
10.0 280 288
100 325 318
500 320 299
1000 359 303
2000 329 322
3000 339 287
4000 345 305
5000 379 350
6000 355 354
6500 374 325
7000 337 335
7500 341 318
8000 362 330
8500 357 302
9000 380 313
9500 393 343
10000 323 336
12500 365 323
25000 336 317
37500 346 324
50000 373 340
75000 415 354
100000 349 345
