@ NAME             %09s "MAP_TABLE"
@ TYPE             %07s "MAP_TAB"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.04.01 Darwin 64"
@ DATE             %08s "06/09/18"
@ TIME             %08s "11.03.12"
* NAME                                 COEF   N_VECTOR         NV      ORDER         NX        NXP         NY        NYP    NDELTAP         NT 
$ %s                                    %le         %d         %d         %d         %d         %d         %d         %d         %d         %d 
 "C1_111010"         -2.613300166456315e+06          1          5          4          1          1          1          0          1          0
 "C1_110200"         -1.057420621967229e+11          1          5          4          1          1          0          2          0          0
 "C1_110110"          3.871629381521139e+08          1          5          4          1          1          0          1          1          0
 "C1_110020"          5.577256441898451e+08          1          5          4          1          1          0          0          2          0
 "C1_103000"         -2.531967037403872e-03          1          5          4          1          0          3          0          0          0
 "C1_102100"         -3.215461976352962e-01          1          5          4          1          0          2          1          0          0
 "C1_102010"          3.996937062248833e+06          1          5          4          1          0          2          0          1          0
 "C1_101200"          3.703442451836205e+01          1          5          4          1          0          1          2          0          0
 "C1_101110"         -3.300811535560053e+08          1          5          4          1          0          1          1          1          0
 "C1_101020"          2.147205058576098e+06          1          5          4          1          0          1          0          2          0
 "C1_100300"         -1.131141740245659e+03          1          5          4          1          0          0          3          0          0
 "C1_100210"          2.788413472470593e+09          1          5          4          1          0          0          2          1          0
 "C1_100120"         -1.492852813962792e+08          1          5          4          1          0          0          1          2          0
 "C1_100030"         -2.985829544820935e+07          1          5          4          1          0          0          0          3          0
 "C1_040000"          2.919478409057708e+11          1          5          4          0          4          0          0          0          0
 "C1_031000"          6.725461901607417e+02          1          5          4          0          3          1          0          0          0
 "C1_030100"          1.947527923750834e+04          1          5          4          0          3          0          1          0          0
 "C1_030010"          9.887967558429577e+09          1          5          4          0          3          0          0          1          0
 "C1_022000"         -1.086228933877440e+08          1          5          4          0          2          2          0          0          0
 "C1_021100"          2.041985215537252e+10          1          5          4          0          2          1          1          0          0
 "C1_021010"         -2.469444310646534e+07          1          5          4          0          2          1          0          1          0
 "C1_020200"         -5.372901542182487e+11          1          5          4          0          2          0          2          0          0
 "C1_020110"          4.992013972786669e+09          1          5          4          0          2          0          1          1          0
 "C1_020020"         -7.301729803245170e+09          1          5          4          0          2          0          0          2          0
 "C1_013000"          3.099855762844034e-01          1          5          4          0          1          3          0          0          0
 "C1_012100"         -7.551225019575013e+01          1          5          4          0          1          2          1          0          0
 "C1_012010"          4.826172031346717e+07          1          5          4          0          1          2          0          1          0
 "C1_011200"          5.365738071171332e+03          1          5          4          0          1          1          2          0          0
 "C1_011110"         -1.935232071067929e+09          1          5          4          0          1          1          1          1          0
 "C1_011020"          4.391470481259907e+07          1          5          4          0          1          1          0          2          0
 "C1_010300"         -1.509684660737719e+05          1          5          4          0          1          0          3          0          0
 "C1_010210"         -2.584406386634229e+10          1          5          4          0          1          0          2          1          0
 "C1_010120"         -1.467119343186322e+09          1          5          4          0          1          0          1          2          0
 "C1_010030"         -5.668160294379048e+08          1          5          4          0          1          0          0          3          0
 "C1_004000"         -3.785837653105762e+04          1          5          4          0          0          4          0          0          0
 "C1_003100"          3.638986324603419e+07          1          5          4          0          0          3          1          0          0
 "C1_003010"          1.528702491395619e+05          1          5          4          0          0          3          0          1          0
 "C1_002200"         -5.324626237239784e+09          1          5          4          0          0          2          2          0          0
 "C1_002110"         -9.924085189252835e+06          1          5          4          0          0          2          1          1          0
 "C1_002020"         -3.739316229050244e+06          1          5          4          0          0          2          0          2          0
 "C1_001300"          2.986105442675342e+11          1          5          4          0          0          1          3          0          0
 "C1_001210"          5.273270708101544e+07          1          5          4          0          0          1          2          1          0
 "C1_001120"          3.344602661967115e+08          1          5          4          0          0          1          1          2          0
 "C1_001030"         -1.741755417561608e+06          1          5          4          0          0          1          0          3          0
 "C1_000400"         -6.095282001260694e+12          1          5          4          0          0          0          4          0          0
 "C1_000310"          3.435297818583365e+09          1          5          4          0          0          0          3          1          0
 "C1_000220"         -3.733323298280267e+09          1          5          4          0          0          0          2          2          0
 "C1_000130"          1.317817752587620e+08          1          5          4          0          0          0          1          3          0
 "C1_000040"          9.573243983471394e+06          1          5          4          0          0          0          0          4          0
 "C1_500000"          3.403433362677063e+07          1          5          5          5          0          0          0          0          0
 "C1_410000"          1.080045479981418e+08          1          5          5          4          1          0          0          0          0
 "C1_401000"         -7.458504816481429e-02          1          5          5          4          0          1          0          0          0
 "C1_400100"         -3.673368853832541e+01          1          5          5          4          0          0          1          0          0
 "C1_400010"         -9.855482104401559e+07          1          5          5          4          0          0          0          1          0
 "C1_320000"         -8.024433429788718e+10          1          5          5          3          2          0          0          0          0
 "C1_311000"          5.743609503584631e+01          1          5          5          3          1          1          0          0          0
 "C1_310100"         -6.935450635299340e+03          1          5          5          3          1          0          1          0          0
 "C1_310010"         -6.768185067585475e+09          1          5          5          3          1          0          0          1          0
 "C1_302000"          4.428383910613310e+07          1          5          5          3          0          2          0          0          0
 "C1_301100"          6.419474742988882e+09          1          5          5          3          0          1          1          0          0
 "C1_301010"          8.375829743294835e+07          1          5          5          3          0          1          0          1          0
 "C1_300200"         -6.084118508047980e+11          1          5          5          3          0          0          2          0          0
 "C1_300110"         -3.767878088911937e+09          1          5          5          3          0          0          1          1          0
 "C1_300020"         -3.661002179880530e+08          1          5          5          3          0          0          0          2          0
 "C1_230000"         -1.937155738817235e+13          1          5          5          2          3          0          0          0          0
 "C1_221000"          3.116638442967249e+03          1          5          5          2          2          1          0          0          0
 "C1_220100"         -3.154036053706901e+05          1          5          5          2          2          0          1          0          0
 "C1_220010"         -7.861770158711655e+11          1          5          5          2          2          0          0          1          0
 "C1_212000"          1.199769065869799e+10          1          5          5          2          1          2          0          0          0
 "C1_211100"         -1.862885864824006e+11          1          5          5          2          1          1          1          0          0
 "C1_211010"          1.076310987124570e+10          1          5          5          2          1          1          0          1          0
 "C1_210200"         -1.722633393111985e+13          1          5          5          2          1          0          2          0          0
 "C1_210110"         -2.470646136194474e+11          1          5          5          2          1          0          1          1          0
 "C1_210020"          2.621401531229162e+10          1          5          5          2          1          0          0          2          0
 "C1_203000"         -7.062238748636124e-02          1          5          5          2          0          3          0          0          0
 "C1_202100"          5.579144541982162e+01          1          5          5          2          0          2          1          0          0
 "C1_202010"         -3.635387474232233e+08          1          5          5          2          0          2          0          1          0
 "C1_201200"         -6.836533829113371e+03          1          5          5          2          0          1          2          0          0
 "C1_201110"          2.053487317627222e+10          1          5          5          2          0          1          1          1          0
 "C1_201020"         -2.340603283286242e+08          1          5          5          2          0          1          0          2          0
 "C1_200300"          2.398546254661186e+05          1          5          5          2          0          0          3          0          0
 "C1_200210"          3.719047698844271e+11          1          5          5          2          0          0          2          1          0
 "C1_200120"          1.238523780506124e+10          1          5          5          2          0          0          1          2          0
 "C1_200030"          1.996194662050627e+09          1          5          5          2          0          0          0          3          0
 "C1_140000"         -8.760520586481798e+14          1          5          5          1          4          0          0          0          0
 "C1_131000"          4.364600397537362e+04          1          5          5          1          3          1          0          0          0
 "C1_130100"         -6.985421667499516e+06          1          5          5          1          3          0          1          0          0
 "C1_130010"         -1.182313910996469e+13          1          5          5          1          3          0          0          1          0
 "C1_122000"          5.088093688656045e+11          1          5          5          1          2          2          0          0          0
 "C1_121100"         -2.309282021751083e+13          1          5          5          1          2          1          1          0          0
 "C1_121010"          3.613102855602338e+11          1          5          5          1          2          1          0          1          0
 "C1_120200"          4.928184117295353e+14          1          5          5          1          2          0          2          0          0
 "C1_120110"         -3.568244484403550e+12          1          5          5          1          2          0          1          1          0
 "C1_120020"         -5.533097740040908e+11          1          5          5          1          2          0          0          2          0
 "C1_113000"         -6.900964906870317e+01          1          5          5          1          1          3          0          0          0
 "C1_112100"          1.178194907135666e+04          1          5          5          1          1          2          1          0          0
 "C1_112010"         -2.954991183093643e+10          1          5          5          1          1          2          0          1          0
 "C1_111200"         -8.494260803609889e+05          1          5          5          1          1          1          2          0          0
 "C1_111110"          1.357968716488838e+12          1          5          5          1          1          1          1          1          0
